distance_sq, {'meter': 2.0}
time_monitor_msg.image_raw, {'second': 1.0}
finish_flag_threshold, {'second': -1.0}
timePoint2, {'second': 1.0}
secs, {'second': 1.0}
ob.angle_t, {'radian': 1.0}
v, {'second': 1.0}
q6, {'radian': 1.0}
deltaTheta, {'radian': 1.0}
target_thrust, {'second': -1.0}
angle, {'radian': 1.0}
ros_dt, {'second': 1.0}
old_, {'second': 1.0}
y, {'radian': 1.0}
xdiff, {'meter': 1.0}
time_from_p1_to_p2, {'second': 1.0}
angle, {'radian': 1.0}
gg.gth, {'radian': 1.0}
th_, {'second': 1.0}
angle, {'radian': 1.0}
angle_of_line_between_two_nearest_points, {'radian': 1.0}
minAngle, {'radian': 1.0}
dt, {'second': 1.0}
delta_lat, {'degree_360': 1.0}
cmdRotation, {'second': -1.0}
dist_traveled, {'meter': 1.0}
output, {'second': 1.0}
dx, {'meter': 1.0}
diff_direction, {'radian': 1.0}
dt, {'second': 1.0}
x2, {'meter': 1.0}
ident.stamp_, {'second': 1.0}
angle, {'radian': 1.0}
duration_SLAM, {'second': 1.0}
trajectory_.trajectory.header.stamp, {'second': 1.0}
cmd_, {'second': 1.0}
lateral_err, {'meter': 1.0}
x_, {'second': -1.0, 'meter': 1.0}
d1, {'radian': 1.0}
dqvec, {'second': -1.0}
wx, {'meter': 1.0}
dt, {'second': 1.0}
theta, {'radian': 1.0}
roll, {'radian': 1.0}
controller_speed, {'second': -1.0, 'meter': 1.0}
b, {'radian': 1.0}
this.theta0, {'radian': 1.0}
wy, {'meter': 1.0}
velPoseEstX.x, {'meter': 1.0}
Etx, {'meter': 1.0}
wfov_image.header.stamp, {'second': 1.0}
ang_aux, {'radian': 1.0}
y_diff, {'meter': 1.0}
dt, {'second': 1.0}
landmark_array.header.stamp, {'second': 1.0}
x_vel, {'second': -1.0, 'meter': 1.0}
last, {'second': 1.0}
publish_me.header.stamp, {'second': 1.0}
x_tum, {'meter': 1.0}
origin, {'meter': 1.0}
wpub, {'second': -2.0}
rotational_dist, {'radian': 1.0}
theta, {'radian': 1.0}
x, {'meter': 1.0}
output, {'second': 1.0}
X1Y1, {'meter': 2.0}
rad, {'radian': 1.0}
theta, {'radian': 1.0}
nsec, {'second': 1.0}
total_latency, {'second': 1.0}
vrot, {'second': -1.0}
py, {'meter': 1.0}
pitch*, {'radian': 1.0}
reply.theta, {'radian': 1.0}
sum_orientation, {'quaternion': 1.0}
az, {'second': -2.0, 'meter': 1.0}
goal_msg.goal.target.point, {'meter': 1.0}
angle_vertical, {'meter': 1.0}
delta_x, {'second': 1.0}
msg.header.stamp, {'second': 1.0}
joint3, {'radian': 1.0}
xcenter, {'meter': 1.0}
response.times, {'second': 1.0}
rollControlGain, {'second': -1.0, 'meter': 1.0}
x2_to, {'meter': 1.0}
dalpha, {'radian': 1.0}
theta, {'radian': 1.0}
originPoint.x, {'meter': 1.0}
tx, {'meter': 1.0}
vx, {'second': -1.0, 'meter': 1.0}
max_trans_vel, {'second': 1.0}
multiplier, {'meter': -1.0}
cvi.header.stamp, {'second': 1.0}
__ros_log_stream_throttle__last_hit__, {'second': 1.0}
navdata_raw_measures_msg.header.stamp, {'second': 1.0}
robot_pose_y_, {'meter': 1.0}
dist, {'meter': 1.0}
v2_y, {'meter': 1.0}
th, {'second': 1.0}
i_error_, {'second': 1.0}
acy, {'meter': 1.0}
lat, {'degree_360': 1.0}
bcx, {'meter': 1.0}
motor2.data, {'second': -1.0}
myLineAngle, {'radian': 1.0}
alp.legAngle.x, {'radian': 1.0}
y_end, {'meter': 1.0}
g_dt, {'second': 1.0}
a2, {'meter': 1.0}
pose_y_help, {'meter': 1.0}
delta_y, {'second': 1.0}
currentZQuart, {'quaternion': 1.0}
temp_th, {'radian': 1.0}
x, {'meter': 1.0}
orientation_w_, {'quaternion': 1.0}
ratioFront, {'second': 1.0}
rx, {'meter': 1.0}
v_blw_mps, {'second': -1.0}
Delta_t, {'second': 1.0}
navdata_raw_measures_msg.header.stamp, {'second': 1.0}
max_y*, {'meter': 1.0}
sampling_frequency_, {'second': -1.0}
camera_info_msg_ptr_.header.stamp, {'second': 1.0}
image.header.stamp, {'second': 1.0}
u2, {'second': 1.0}
avgDur, {'second': 1.0}
myAngleToCenter, {'radian': 1.0}
geometry_msgs::Vector3&linear_velocity, {'second': -1.0, 'meter': 1.0}
time, {'second': 1.0}
wpz, {'meter': 1.0}
pitch, {'radian': 1.0}
scan_angle_, {'radian': 1.0}
this.lastRotateTimer, {'second': 1.0}
t, {'second': 1.0}
y_end, {'meter': 1.0}
outX, {'meter': 1.0}
deltaFi, {'radian': 1.0}
retval.theta, {'radian': 1.0}
old_y, {'meter': 1.0}
header.stamp, {'second': 1.0}
feedback_.error.pose.position.x, {'meter': 1.0}
last_pos_, {'meter': 1.0}
next_desired_y, {'meter': 1.0}
stride_lenght, {'second': 1.0}
state_msg.Time_Of_Measurement, {'second': 1.0}
delta, {'radian': 1.0}
y_vals, {'meter': 1.0}
x_A, {'meter': 1.0}
dangle, {'second': -1.0}
cruise_distance, {'meter': 1.0}
zVelocity, {'second': -1.0, 'meter': 1.0}
timePoint2, {'second': 1.0}
d1, {'radian': 1.0}
alpha, {'radian': 1.0}
norm_q, {'second': -1.0}
feedback_.distanceTotal, {'meter': 1.0}
actual_turn_axis, {'quaternion': 1.0}
y, {'meter': 1.0}
dt, {'second': 1.0}
y, {'meter': 1.0}
acy, {'meter': 1.0}
p, {'meter': 1.0}
q1, {'second': -1.0}
p, {'radian': 1.0}
orient, {'radian': 1.0}
angular_velocity, {'second': -1.0}
acx, {'meter': 1.0}
yaw, {'radian': 1.0}
rot_, {'second': -1.0}
fps, {'second': -1.0}
des_state_x_, {'meter': 1.0}
goal_y, {'meter': 1.0}
rightDistance, {'meter': 1.0}
alpha, {'radian': 1.0}
a2, {'meter': 1.0}
vMax, {'meter': 1.0}
clock_msg.clock, {'second': 1.0}
final_without, {'second': 1.0}
opp, {'meter': 1.0}
vx, {'meter': 1.0}
x, {'second': 1.0}
delta, {'radian': 1.0}
yaw, {'radian': 1.0}
target_dx, {'meter': 1.0}
theta, {'radian': 1.0}
grappler_store_msg_.stamp, {'second': 1.0}
retG, {'radian': 1.0}
x_, {'meter': 1.0}
yaw, {'radian': 1.0}
y_start, {'meter': 1.0}
q5, {'radian': 1.0}
beta, {'radian': 1.0}
odomFi, {'second': -1.0}
dist, {'meter': 1.0}
mean.theta, {'radian': 1.0}
heading, {'quaternion': 1.0}
wpx, {'meter': 1.0}
delta_y, {'second': 1.0}
min_sq_dist, {'meter': 2.0}
last_time, {'second': 1.0}
z_difference, {'meter': 1.0}
global_linx, {'second': -1.0, 'meter': 1.0}
msg.header.stamp, {'second': 1.0}
endyangle, {'radian': 1.0}
difference, {'radian': 1.0}
ay, {'radian': 1.0}
current_dist, {'meter': 1.0}
wy, {'meter': 1.0}
alpha, {'radian': 1.0}
bcy, {'meter': 1.0}
roll, {'radian': 1.0}
freq, {'second': -1.0}
head_x_diff, {'meter': 1.0}
dy, {'meter': 1.0}
goal_y, {'meter': 1.0}
pi, {'radian': 1.0}
incr, {'second': -2.0, 'meter': 1.0}
left_z, {'meter': 1.0}
left_y_diff, {'meter': 1.0}
window, {'second': 1.0}
linear, {'second': -1.0, 'meter': 1.0}
bottom, {'meter': 1.0}
error, {'radian': 1.0}
roll, {'radian': 1.0}
error_linear, {'meter': 1.0}
a, {'radian': 1.0}
avg_diff, {'second': 1.0}
CmdFloat, {'meter': 1.0}
beta, {'meter': 1.0}
y1, {'meter': 1.0}
dth, {'second': -1.0}
v, {'second': -1.0, 'meter': 1.0}
o, {'meter': 1.0}
timeNow, {'second': 1.0}
_azimuth, {'radian': 1.0}
l_veh.v, {'second': -1.0, 'meter': 1.0}
goal.source_time, {'second': 1.0}
delta_th, {'second': 1.0}
oldX, {'meter': 1.0}
angle, {'radian': 1.0}
navdata_rc_references_msg.header.stamp, {'second': 1.0}
q2, {'quaternion': 1.0}
New_Hand_Position_left.pose.position.x, {'meter': 1.0}
tmp.vector, {'second': -2.0, 'meter': 1.0, 'kilogram': 1.0}
a, {'second': 1.0}
roll, {'radian': 1.0}
r, {'radian': 1.0}
right_ir_state.timestamp, {'second': 1.0}
retval.theta, {'radian': 1.0}
desPitch, {'meter': 1.0}
alpha1Px, {'radian': 1.0}
dx, {'meter': 1.0}
acceleration, {'second': -1.0}
lat_rad, {'radian': 1.0}
pitch, {'radian': 1.0}
base_speed_cmd_, {'second': -1.0, 'meter': 1.0}
msg.pose.position.x, {'meter': 1.0}
ekf_time_begin_, {'second': 1.0}
error, {'radian': 1.0}
dT, {'second': 1.0}
uangle, {'radian': 1.0}
finalVal, {'meter': 1.0}
t, {'second': 1.0}
FSR2, {'meter': 1.0}
myLineAngle, {'radian': 1.0}
image_left.header.stamp, {'second': 1.0}
odom_y_, {'meter': 1.0}
quat_w, {'quaternion': 1.0}
delta_bearing, {'radian': 1.0}
angle2*, {'radian': 1.0}
theta, {'radian': 1.0}
P_dw, {'meter': 1.0}
y_, {'meter': 1.0}
bcy, {'meter': 1.0}
delta, {'second': 1.0}
x, {'meter': 1.0}
y_, {'meter': 1.0}
ang_b, {'radian': 1.0}
bt_p, {'meter': 1.0}
phi, {'radian': 1.0}
delta_t, {'second': 1.0}
leftWheel, {'second': -1.0, 'meter': 1.0}
angular_velocity_error, {'second': -1.0}
scale_, {'meter': 2.0}
nearestDistance, {'meter': 1.0}
minimum_distance, {'meter': 1.0}
pitch, {'radian': 1.0}
zVelocity, {'second': -1.0, 'meter': 1.0}
angleFromXAxis, {'radian': 1.0}
uw, {'second': -1.0}
db_msg.header.stamp, {'second': 1.0}
bcx, {'meter': 1.0}
c, {'radian': 1.0}
theta, {'radian': 1.0}
panspeed, {'second': -1.0}
odom_angularVelocity, {'second': -1.0}
startSec, {'second': 1.0}
last_angv, {'second': -1.0}
ppm, {'meter': 1.0}
Q_norm_desired_neg_diff, {'quaternion': 1.0}
pitch*, {'radian': 1.0}
x_, {'second': -1.0, 'meter': 1.0}
x, {'meter': 1.0}
error.x, {'meter': 1.0}
x, {'meter': 1.0}
delta, {'radian': 1.0}
pose_y, {'meter': 1.0}
speed, {'second': -1.0, 'meter': 1.0}
yaw, {'radian': 1.0}
cmd_x, {'second': -1.0, 'meter': 1.0}
lin_acc_x_, {'second': -2.0, 'meter': 1.0}
y, {'meter': 1.0}
phi, {'radian': 1.0}
y, {'degree_360': 1.0}
personAngle, {'radian': 1.0}
origin, {'meter': 1.0}
dist, {'meter': 1.0}
dp_db_g, {'second': 1.0}
roll*, {'radian': 1.0}
dt, {'second': 1.0}
target_0, {'meter': 1.0}
angle, {'radian': 1.0}
pitch_value, {'radian': 1.0}
diff_x, {'meter': 1.0}
pitch, {'radian': 1.0}
deltatime, {'second': 1.0}
p, {'meter': 1.0}
rcell.x, {'meter': 1.0}
output, {'second': -1.0}
max_dist, {'meter': 1.0}
BallTargetAngle, {'radian': 1.0}
delta_rot1_noise, {'radian': 1.0}
xCent, {'meter': 1.0}
d, {'meter': 1.0}
y_start, {'meter': 1.0}
ident.stamp_, {'second': 1.0}
delta_rot1, {'radian': 1.0}
left_y, {'meter': 1.0}
vector_angle, {'radian': 1.0}
orientation.x, {'quaternion': 1.0}
y, {'meter': 1.0}
w, {'quaternion': 1.0}
wpub, {'second': -1.0}
pgm, {'meter': 1.0}
x_, {'second': -1.0, 'meter': 1.0}
timeRec, {'second': 1.0}
dlast, {'second': 1.0}
x, {'meter': 1.0}
xdecel, {'second': 2.0}
dn, {'meter': 1.0}
startTime, {'second': 1.0}
x, {'second': 1.0}
bcy, {'meter': 1.0}
range_scan_max, {'meter': 1.0}
quat_z, {'quaternion': 1.0}
roomba_pos1.x, {'meter': 1.0}
odom_x_, {'meter': 1.0}
pointT, {'meter': 1.0}
altitudeDifference, {'meter': 1.0}
dx, {'meter': 1.0}
dy, {'meter': 1.0}
t_next, {'second': 1.0}
d, {'second': 1.0}
epwant, {'second': -1.0}
roll, {'radian': 1.0}
arccos, {'radian': 1.0}
endtime, {'second': 1.0}
angulo, {'radian': 1.0}
roll, {'radian': 1.0}
t2, {'radian': 1.0}
yaw, {'radian': 1.0}
delta_x, {'meter': 1.0}
diffY, {'meter': 1.0}
delta_y, {'second': 1.0}
d_x, {'meter': 1.0}
theta7, {'radian': 1.0}
vy, {'second': -1.0, 'meter': 1.0}
odom_information, {'second': -2.0}
damp, {'meter': -1.0}
elur.x, {'radian': 1.0}
roll, {'radian': 1.0}
ci_.header.stamp, {'second': 1.0}
time_delta_14, {'second': 1.0}
heading_diff, {'radian': 1.0}
xhRoll, {'radian': 1.0}
y_des, {'meter': 1.0}
a, {'radian': 1.0}
_sim3f.header.stamp, {'second': 1.0}
dist_moved, {'meter': 1.0}
m_speed_w, {'second': -1.0}
vec.x, {'second': -1.0}
vy, {'second': 1.0}
error_z, {'meter': 1.0}
ping_dist, {'meter': 1.0}
controller_omega, {'meter': 1.0}
joy_movement, {'second': -1.0}
w, {'quaternion': 1.0}
centre, {'meter': 1.0}
theta, {'radian': 1.0}
r, {'radian': 1.0}
frequency, {'second': -1.0}
heading_est, {'radian': 1.0}
pAngle, {'radian': 1.0}
r1_theta_z, {'radian': 1.0}
vth, {'second': -1.0}
wp.x_min, {'meter': 1.0}
odo_y, {'meter': 1.0}
yaw, {'radian': 1.0}
initX, {'meter': 1.0}
eta, {'radian': 1.0}
B_rel, {'second': -1.0}
az, {'second': -1.0}
min_y*, {'meter': 1.0}
Aw, {'second': 1.0}
cmd2.setpoint, {'second': -1.0}
cmdTranslation, {'second': -1.0, 'meter': 1.0}
x, {'meter': 1.0}
j8, {'radian': 1.0}
thetabar, {'radian': 1.0}
rtn, {'radian': 1.0}
diff, {'second': 1.0}
angles, {'meter': 1.0}
x, {'meter': 1.0}
vector_angle, {'radian': 1.0}
stamp_age_stddev, {'second': 1.0}
rz.header.stamp, {'second': 1.0}
angle, {'radian': 1.0}
old_up_down, {'second': -1.0, 'meter': 1.0}
distance_sq, {'meter': 2.0}
delta, {'radian': 1.0}
Left, {'second': -1.0}
linear_velocity, {'second': -1.0, 'meter': 1.0}
odom_y_, {'meter': 1.0}
q_s1b, {'radian': 1.0}
x*, {'meter': 1.0}
yaw*, {'radian': 1.0}
zTimeSecs, {'second': 1.0}
x_end, {'meter': 1.0}
lidar_dist_msg.data, {'meter': 1.0}
_time, {'second': 1.0}
new_theta, {'radian': 1.0}
maxRangeForContainer, {'meter': 1.0}
target_y, {'meter': 1.0}
V_inv, {'radian': -1.0}
temp, {'radian': 1.0}
alpha, {'radian': 1.0}
j5array, {'radian': 1.0}
dt, {'second': 1.0}
yinit, {'meter': 1.0}
new_wp.x, {'meter': 1.0}
SR, {'second': 1.0}
y, {'second': 1.0}
navdata_video_stream_msg.header.stamp, {'second': 1.0}
dt, {'second': 1.0}
dDistanceToSegment, {'meter': 1.0}
dqvec, {'second': -1.0}
theta16s, {'radian': 1.0}
dt2, {'second': 1.0}
joint2, {'radian': 1.0}
a, {'radian': 1.0}
tsDiff, {'second': 1.0}
curbness, {'radian': 1.0}
angles, {'radian': 1.0}
a, {'radian': 1.0}
maxArmHeight, {'meter': 1.0}
t0, {'radian': 1.0}
data.data, {'second': 1.0}
result.first, {'second': -1.0, 'meter': 1.0}
v, {'meter': 1.0}
circleDistance, {'meter': 1.0}
y1, {'meter': 1.0}
x0, {'meter': 1.0}
curr_goal_rad, {'radian': 1.0}
cmdRotation, {'second': -1.0}
a, {'meter': 1.0}
x_diff, {'meter': 1.0}
psi_up_a, {'radian': 1.0}
vy, {'second': -1.0, 'meter': 1.0}
line_tan_theta, {'radian': 1.0}
time_diff, {'second': 1.0}
d2, {'radian': 1.0}
pi, {'radian': 1.0}
dy, {'second': -1.0, 'meter': 1.0}
height, {'meter': 1.0}
z_theta_hand, {'radian': 1.0}
current_pos_cartesian_y, {'meter': 1.0}
obj.meEntity.time, {'second': 1.0}
elapsed_time, {'second': 1.0}
x_start, {'meter': 1.0}
a1, {'radian': 1.0}
total_duration_, {'second': 1.0}
wheelSpeed, {'second': -1.0, 'meter': 1.0}
llh, {'radian': 1.0}
elapsed, {'second': 1.0}
r, {'radian': 1.0}
x4, {'meter': 1.0}
angular_accel, {'second': -2.0}
odom_x_, {'meter': 1.0}
Torque, {'second': 2.0}
time_expire, {'second': 1.0}
a, {'radian': 1.0}
yEr, {'meter': 1.0}
secs_start_RRT, {'second': 1.0}
v, {'radian': 1.0}
acx, {'meter': 1.0}
quat_x, {'quaternion': 1.0}
aux, {'radian': 1.0}
delta, {'radian': 1.0}
average_rate, {'second': -1.0}
q2sqr, {'quaternion': 1.0}
error_theta, {'radian': 1.0}
orient, {'radian': 1.0}
diff, {'meter': 1.0}
maxRangeForContainer, {'meter': 1.0}
update.latitude, {'degree_360': 1.0}
dLinearSpeed_, {'second': -1.0, 'meter': 1.0}
cmd_angularVelocity, {'second': -1.0}
u3, {'radian': 1.0}
distance, {'meter': 1.0}
rangeMsg.header.stamp, {'second': 1.0}
a, {'radian': 1.0}
angle, {'radian': 1.0}
clock_msg.clock, {'second': 1.0}
flipper_desired_joint_states.time_from_start, {'second': 1.0}
odom_y_, {'meter': 1.0}
output, {'radian': 1.0}
sum, {'meter': 1.0}
zy_angle, {'radian': 1.0}
dist_moved, {'meter': 1.0}
gposy, {'meter': 1.0}
lastDiagTime_, {'second': 1.0}
state_x_, {'meter': 1.0}
yaw, {'radian': 1.0}
c1, {'meter': 2.0}
t0, {'radian': 1.0}
dt, {'second': 1.0}
vl, {'second': -1.0}
tiempo_anterior, {'second': 1.0}
m_integral, {'second': 1.0}
sla_Fxe_P, {'meter': 1.0}
attitude, {'radian': 1.0}
uangle, {'radian': 1.0}
pitchControlGain, {'second': -1.0, 'meter': 1.0}
